trial,pathway,strategy,step,n_metabolites,auc
18,Purine Metabolism,commutator,2,4,0.982078853046595
18,Purine Metabolism,variance,1,3,0.8279569892473118
18,Purine Metabolism,variance,2,4,0.982078853046595
18,Purine Metabolism,random,1,3,0.903225806451613
18,Purine Metabolism,random,2,4,0.982078853046595
18,Pyrimidine Metabolism,commutator,1,5,0.982078853046595
18,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
18,Pyrimidine Metabolism,variance,1,5,0.982078853046595
18,Pyrimidine Metabolism,variance,2,6,0.978494623655914
18,Pyrimidine Metabolism,random,1,5,0.971326164874552
18,Pyrimidine Metabolism,random,2,6,0.978494623655914
18,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
18,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
18,Tryptophan Metabolism,variance,1,4,0.7706093189964157
18,Tryptophan Metabolism,variance,2,5,0.8602150537634409
18,Tryptophan Metabolism,random,1,4,0.7706093189964157
18,Tryptophan Metabolism,random,2,5,0.8602150537634409
19,Arginine and Proline Metabolism,commutator,1,5,1.0
19,Arginine and Proline Metabolism,commutator,2,6,1.0
19,Arginine and Proline Metabolism,variance,1,5,1.0
19,Arginine and Proline Metabolism,variance,2,6,1.0
19,Arginine and Proline Metabolism,random,1,5,1.0
19,Arginine and Proline Metabolism,random,2,6,1.0
19,Purine Metabolism,commutator,1,3,0.978494623655914
19,Purine Metabolism,commutator,2,4,0.982078853046595
19,Purine Metabolism,variance,1,3,0.978494623655914
19,Purine Metabolism,variance,2,4,0.982078853046595
19,Purine Metabolism,random,1,3,0.978494623655914
19,Purine Metabolism,random,2,4,0.982078853046595
19,Pyrimidine Metabolism,commutator,1,5,0.971326164874552
19,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
19,Pyrimidine Metabolism,variance,1,5,0.971326164874552
19,Pyrimidine Metabolism,variance,2,6,0.978494623655914
19,Pyrimidine Metabolism,random,1,5,0.956989247311828
19,Pyrimidine Metabolism,random,2,6,0.978494623655914
19,Tryptophan Metabolism,commutator,1,4,0.935483870967742
19,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
19,Tryptophan Metabolism,variance,1,4,0.935483870967742
19,Tryptophan Metabolism,variance,2,5,0.8602150537634409
19,Tryptophan Metabolism,random,1,4,0.935483870967742
19,Tryptophan Metabolism,random,2,5,0.8602150537634409
20,Arginine and Proline Metabolism,commutator,1,5,1.0
20,Arginine and Proline Metabolism,commutator,2,6,1.0
20,Arginine and Proline Metabolism,variance,1,5,1.0
20,Arginine and Proline Metabolism,variance,2,6,1.0
20,Arginine and Proline Metabolism,random,1,5,1.0
20,Arginine and Proline Metabolism,random,2,6,1.0
20,Purine Metabolism,commutator,1,3,0.8279569892473118
20,Purine Metabolism,commutator,2,4,0.982078853046595
20,Purine Metabolism,variance,1,3,0.8279569892473118
