dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,89,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.6017192326,1554.7170335714413,290455.8846856612,0.9946758199037365,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,89,imputation,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,90,proposed,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,90,random,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,90,degree,5,2,3,Alanine,Pyroglutamic acid,264366.98342101823,1554.6039796194,262812.37944139884,0.9941195229468439,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,90,imputation,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,91,proposed,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,91,random,5,2,3,Asparagine,Aspartic acid,1719.3905857828022,588.9211114128001,1130.469474370002,0.657482647466819,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,91,degree,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,91,imputation,5,2,3,Asparagine,Asparagine,1719.3905857828022,1719.3905857828022,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,92,proposed,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,92,random,5,2,3,Alanine,Alanine,264366.98342101823,264366.98342101823,0.0,0.0,1,1,1
